Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Denmark,DNK,"Children out of school, primary",SE.PRM.UNER,2850,2904,3160,2634,1772,1854,1599,2078,2548,..
Djibouti,DJI,"Children out of school, primary",SE.PRM.UNER,53528,59329,62035,59149,56366,50535,48923,47713,46432,..
Dominica,DMA,"Children out of school, primary",SE.PRM.UNER,41,218,261,..,..,934,752,811,776,..
Dominican Republic,DOM,"Children out of school, primary",SE.PRM.UNER,88257,46019,49157,59410,64074,44717,45342,119266,86746,..
Ecuador,ECU,"Children out of school, primary",SE.PRM.UNER,18014,16736,18185,19486,22868,25908,29634,56914,70043,..
"Egypt, Arab Rep.",EGY,"Children out of school, primary",SE.PRM.UNER,1120588,..,774836,680258,555951,345486,173745,66544,..,..
El Salvador,SLV,"Children out of school, primary",SE.PRM.UNER,47814,51537,56092,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,"Children out of school, primary",SE.PRM.UNER,..,109354,..,..,..,..,..,..,..,..
Eritrea,ERI,"Children out of school, primary",SE.PRM.UNER,177558,185509,..,210466,211207,217821,..,..,..,..
Estonia,EST,"Children out of school, primary",SE.PRM.UNER,1933,2237,2091,2124,2142,2067,2023,1912,1613,..
Eswatini,SWZ,"Children out of school, primary",SE.PRM.UNER,22003,22127,21380,24387,22145,20472,..,..,..,..
Ethiopia,ETH,"Children out of school, primary",SE.PRM.UNER,2704516,2942915,..,..,..,..,..,4446762,4326212,..
Faroe Islands,FRO,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Children out of school, primary",SE.PRM.UNER,9767,7006,3579,2482.65209960938,1895.51293945312,..,2169,..,2908.83203125,..
Finland,FIN,"Children out of school, primary",SE.PRM.UNER,4720,5717,5890,6695,6738,8304,7070,5088,7353,..
France,FRA,"Children out of school, primary",SE.PRM.UNER,56322,21490,7005,2457,618,4882,1690,3961,1333,..
French Polynesia,PYF,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,76320,..,..,..,..
"Gambia, The",GMB,"Children out of school, primary",SE.PRM.UNER,136684,123121,122922,118015,115164,105036,99078,102637,102914,104508
Georgia,GEO,"Children out of school, primary",SE.PRM.UNER,5250,3714,3940,3294,3083,2795,2005,1011,4376,7885
Germany,DEU,"Children out of school, primary",SE.PRM.UNER,34341,24047,49857,31356,25345,27953,35069,43851,..,..
Ghana,GHA,"Children out of school, primary",SE.PRM.UNER,720563,654703,791181,362247,427057,320592,565771,547863,..,..
Gibraltar,GIB,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Children out of school, primary",SE.PRM.UNER,13691,14012,9130,12488,18024,18176,17132,15821,..,..
Greenland,GRL,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Children out of school, primary",SE.PRM.UNER,136,149,266,..,1184,..,..,3083,..,..
Guam,GUM,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Children out of school, primary",SE.PRM.UNER,212849,224221,246387,229971,208885,213999,211505,181414,178653,..
Guinea,GIN,"Children out of school, primary",SE.PRM.UNER,316089,462088,366716,..,304429,336769,283146,391096,..,..
Guinea-Bissau,GNB,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Guyana,GUY,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,15206,15777,..,..
Haiti,HTI,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Honduras,HND,"Children out of school, primary",SE.PRM.UNER,290330,284763,274480,257593,237868,234549,245074,278896,..,..
"Hong Kong SAR, China",HKG,"Children out of school, primary",SE.PRM.UNER,2426,2776,2271,740,441,246,2372,3587,3060,..
Hungary,HUN,"Children out of school, primary",SE.PRM.UNER,13786,16823,19811,19363,17232,16426,15815,13998,..,..
Iceland,ISL,"Children out of school, primary",SE.PRM.UNER,356,389,327,345,361,395,474,476,..,..
India,IND,"Children out of school, primary",SE.PRM.UNER,..,..,5010197.5,7328295,7721149.5,8894878,4873048.5,2758325.75,180671.84375,1722439.875
Indonesia,IDN,"Children out of school, primary",SE.PRM.UNER,653227,..,1363992,1463398,1964751,481432.59375,760311.25,407290.625,345715.9375,..
"Iran, Islamic Rep.",IRN,"Children out of school, primary",SE.PRM.UNER,33643,37795,118211,66293,..,77561,167070,..,..,..
Iraq,IRQ,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Ireland,IRL,"Children out of school, primary",SE.PRM.UNER,197,263,64,159,10,773,238,4254,..,..
Isle of Man,IMN,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Children out of school, primary",SE.PRM.UNER,20730,23041,23989,30246,32954,36904,38897,37652,..,..
Italy,ITA,"Children out of school, primary",SE.PRM.UNER,35016,42573,47289,46298,43886,44021,39964,41930,..,..
Jamaica,JAM,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,33332,39784,22505,..
Japan,JPN,"Children out of school, primary",SE.PRM.UNER,6711,9398,6095,3207,5893,5422,8410,1885,..,..
Jordan,JOR,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Kazakhstan,KAZ,"Children out of school, primary",SE.PRM.UNER,28014,37161,51989,31876,28252,21267,123313,136287,136657,68819
Kenya,KEN,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Kiribati,KIR,"Children out of school, primary",SE.PRM.UNER,96,277,161,507,..,..,802,..,..,..
"Korea, Dem. People's Rep.",PRK,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"Children out of school, primary",SE.PRM.UNER,81037,4439,19406,51373,51348,25087,37706,39299,29036,..
Kosovo,XKX,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,"Children out of school, primary",SE.PRM.UNER,16708,7650,..,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,"Children out of school, primary",SE.PRM.UNER,8103,9453,9935,11496,6937,13016,25824,32024,37815,4662
Lao PDR,LAO,"Children out of school, primary",SE.PRM.UNER,29142,36716,40045,46787,49168,45921,45334,44312,60444,..
