Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Fragile and conflict affected situations,FCS,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
High income,HIC,"Children out of school, primary",SE.PRM.UNER,1720590,1654165,1608635,1577365,1537385,1502080,1459205,1414600,1371690,1361610
IBRD only,IBD,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
IDA & IBRD total,IBT,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
IDA blend,IDB,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
IDA only,IDX,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Late-demographic dividend,LTE,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Least developed countries: UN classification,LDC,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Low & middle income,LMY,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Low income,LIC,"Children out of school, primary",SE.PRM.UNER,23376800,23599600,23885700,24192550,24637000,25062500,25418000,25768550,26697450,27033400
Lower middle income,LMC,"Children out of school, primary",SE.PRM.UNER,43939952,42789300,41530648,40270200,38826300,37393448,35971048,35048352,34345648,33946752
Middle East & North Africa,MEA,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Middle income,MIC,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
North America,NAC,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Not classified,INX,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
OECD members,OED,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Other small states,OSS,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Pacific island small states,PSS,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Post-demographic dividend,PST,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Pre-demographic dividend,PRE,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Small states,SST,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
South Asia,SAS,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
South Asia (IDA & IBRD),TSA,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Sub-Saharan Africa,SSF,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Sub-Saharan Africa (excluding high income),SSA,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Upper middle income,UMC,"Children out of school, primary",SE.PRM.UNER,6913015,7132215,7256345,7382580,7587990,7813180,8057285,8182365,8397830,8492840
World,WLD,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 09/19/2024,,,,,,,,,,,,,
